repo,hf_ctx_size,applied_ctx_size
mradermacher/Qwen3-30B-A3B-Thinking-2507-GGUF,262144,131072
mradermacher/Qwen3-30B-A3B-Thinking-2507-Amoral-Edition-i1-GGUF,262144,131072
mradermacher/OpenAi-GPT-oss-36B-BrainStorm20x-uncensored-i1-GGUF,131072,131072
prithivMLmods/Qwen3-4B-Thinking-2507-GGUF,262144,131072
bartowski/Qwen_Qwen3-4B-Instruct-2507-GGUF,262144,131072
mradermacher/L3.3-GeneticLemonade-Final-70B-i1-GGUF,131072,65536
mradermacher/Qwen3-Silent-Scream-6B-i1-GGUF,262144,32768
mradermacher/Qwen3-Darkest-Jan-v1-256k-ctx-6B-i1-GGUF,262144,32768
mradermacher/Qwen3-ST-The-Next-Generation-II-v1-256k-ctx-6B-GGUF,262144,32768
mradermacher/Fallen-Gemma3-27B-v1-i1-GGUF,131072,65536
mradermacher/amoral-gemma3-27B-v2-qat-GGUF,131072,65536
DavidAU/MN-DARKEST-UNIVERSE-29B-GGUF,131072,65536
bartowski/DeepSeek-R1-Distill-Qwen-32B-GGUF,32768,32768
mradermacher/Qwen3-32B-Uncensored-GGUF,32768,32768
mradermacher/OpenThinker2-32B-Uncensored-GGUF,131072,65536
unsloth/gemma-3-4b-it-GGUF,131072,131072
unsloth/gemma-3-12b-it-qat-GGUF,131072,131072
unsloth/Hermes-4-70B-GGUF,131072,65536
mradermacher/L3.1-MOE-4X8B-Dark-Reasoning-Dark-Planet-Hermes-R1-Uncensored-e32-25B-GGUF,131072,65536
mradermacher/DeepSeek-R1-Distill-Llama-70B-Uncensored-v2-Unbiased-Reasoner-GGUF,131072,65536
mradermacher/Qwen3-30B-A3B-Instruct-2507-GGUF,262144,65536
mradermacher/Qwen3-42B-A3B-Stranger-Thoughts-Deep20x-Abliterated-Uncensored-GGUF,262144,65536
DavidAU/L3.1-MOE-4X8B-Dark-Reasoning-Super-Nova-RP-Hermes-R1-Uncensored-25B-GGUF,131072,65536
mradermacher/L3.1-4x8b_BlackTower_RP-V1.1-Uncensored-i1-GGUF,131072,65536
